Name,Latitude,Longitude,Category,Venue_Id,Rectangle
Himmelsleiter,53.54518769881003,9.901605248451233,Trail,4c28eb679eb1952149a12959,"(0, 0, 0)"
Oevelgönner Seekiste,53.544703199662294,9.905129671096802,Museum,4c28eaab9eb195212aa12959,"(0, 0, 0)"
H Liebermannstraße,53.54603,9.898941,Bus Stop,51dc0e9b498e6d7db55df732,"(0, 0, 0)"
Hafenrundfahrt HADAG,53.54223071470139,9.902829348039004,Boat or Ferry,4b05885df964a52017c122e3,"(0, 0, 0)"
62,53.542079795469654,9.90344524383545,Boat or Ferry,56afdc4c498ec155d3b31b79,"(0, 0, 0)"
Elbstrand Övelgönne,53.54440038487871,9.90842342376709,Beach,4b0ab196f964a5207a2623e3,"(0, 0, 1)"
Strandperle,53.54444179092398,9.905416247206682,Beach Bar,4b058859f964a520d3bf22e3,"(0, 0, 1)"
Strandkiosk (Ahoi),53.54443299386647,9.905867851945015,Beach Bar,4c3e18ff0596c928a5d18378,"(0, 0, 1)"
Zum alten Lotsenhaus,53.54475919913066,9.912062151611199,German Restaurant,4b3e0a89f964a520ec9725e3,"(0, 0, 1)"
Dock 13,53.54468310316069,9.91199137435222,Beach Bar,4dea2af81f6e3ddebdc3e310,"(0, 0, 1)"
Süßwasser,53.544609776219154,9.90810228872176,German Restaurant,4b93ab8ef964a5205f4c34e3,"(0, 0, 1)"
Elbe,53.54199053949022,9.910783767700195,River,4c40e734da3dc928a519c8b9,"(0, 0, 1)"
Övelgönne,53.54474583262233,9.906449317932129,Trail,4f9263f2c2ee4e40562af8ae,"(0, 0, 1)"
Museumshafen Oevelgönne e.V.,53.54406887989486,9.914066791534424,Harbor / Marina,4b05885ff964a52081c122e3,"(0, 0, 2)"
Landhaus Scherrer,53.54604407487767,9.916858234757013,German Restaurant,4b05885ff964a520b4c122e3,"(0, 0, 2)"
Das Weisse Haus,53.54450315746775,9.915149136009086,German Restaurant,4bd081e2b221c9b6dbcdd3d0,"(0, 0, 2)"
Nuggis Elbkate,53.54352521750831,9.914789161098117,Snack Place,4bcc8c80511f9521832bb3c7,"(0, 0, 2)"
Le Canard Nouveau,53.545946,9.914011,French Restaurant,4b05885ff964a520b3c122e3,"(0, 0, 2)"
Fischrestaurant Hoppe,53.54449042193213,9.913315216011402,Seafood Restaurant,4b058861f964a52036c222e3,"(0, 0, 2)"
Elbterrassen,53.54431402773399,9.914256752029727,Café,4ba6675ef964a520cb4e39e3,"(0, 0, 2)"
Sutsche,53.54434172793371,9.912961527194456,Restaurant,4bc89df415a7ef3b42777bda,"(0, 0, 2)"
Kleinhuis’ Restaurantschiff,53.543714280423615,9.9146379002899,Seafood Restaurant,4d89f2bd26a36ea8bacee9ad,"(0, 0, 2)"
Linie 62 Landungsbrücken - Finkenwerder,53.543478705516954,9.914584411318089,Boat or Ferry,4b65a803f964a5201bf82ae3,"(0, 0, 2)"
Rosengarten,53.54535663470883,9.918540716171265,Park,4bb5ffb26edc76b01c3f301c,"(0, 0, 2)"
H Neumühlen / Övelgönne,53.544253519119856,9.91481104144855,Bus Stop,50794d02e4b0df11c946f1ef,"(0, 0, 2)"
Elbbrise,53.54440589733128,9.913561,Restaurant,4de77505fa7639614266e716,"(0, 0, 2)"
Elbtunnel,53.54168451756056,9.917821884155273,Tunnel,4b67eedbf964a5205f612be3,"(0, 0, 2)"
Donners Park,53.54523863549232,9.925075360973498,Park,4c63da42fa7bc9284c811127,"(0, 0, 3)"
Heine-Park,53.546019621909416,9.927628040313719,Park,4f40eedfe4b0daed43403907,"(0, 0, 3)"
IndoChine IceBar,53.54389036973865,9.92344236089002,Bar,4e710a991838f0daa0d6ae95,"(0, 0, 3)"
Lothar Böhm Designagentur,53.54413605542743,9.924708653666483,Cafeteria,4bb3740a2397b713c21b38b3,"(0, 0, 3)"
Piano Beach,53.543797354259596,9.923877851190907,Beach,4c08f1237e3fc928d309f182,"(0, 0, 3)"
H Neumühler Kirchenweg,53.544600438299,9.926487586394833,Bus Stop,4eef253f722ea77619953f83,"(0, 0, 3)"
N 17,53.54403770993453,9.921153892022177,Restaurant,4eb2e101cc21adeaf8a7fa98,"(0, 0, 3)"
Hensslers Küche,53.54466813700877,9.927499294281006,Cooking School,55f15d58498ef62f16293ef4,"(0, 0, 3)"
Stadt Bäckerei,53.549943,9.898014,Bakery,50b9c42be4b054161be0e422,"(0, 1, 0)"
H Ernst-August-Straße,53.54995314251391,9.89810486425895,Bus Stop,4f6d9998e4b0ad1af49eee90,"(0, 1, 0)"
H Philosophenweg,53.54922205482062,9.910311277729424,Bus Stop,51399872e4b08d57c9385fbe,"(0, 1, 1)"
Rathenaupark,53.549474637118394,9.912511110305786,Park,4c7a1e172d3ba143978690d0,"(0, 1, 1)"
Altona 93,53.54721,9.907373,Soccer Field,529b118411d2c5b205da48c7,"(0, 1, 1)"
FuH,53.549219,9.922463,Cooking School,4b101de7f964a520596923e3,"(0, 1, 3)"
Frau Meis Eisladen,53.54856427515827,9.922188654609018,Ice Cream Shop,4ba5fc26f964a520c32c39e3,"(0, 1, 3)"
Teufels Küche,53.550102,9.925305,Restaurant,58de4356c5f8a7558d6d049d,"(0, 1, 3)"
Taverna Nostalgia bei Sotiris,53.550273,9.926811,Taverna,4d3b1cd0d9a86a3199bd06ab,"(0, 1, 3)"
Jools Café und Restaurant,53.54828537377627,9.922876912986148,Café,54903862498eec4e0f27b546,"(0, 1, 3)"
Fischers Park,53.548334904866735,9.922014782164286,Park,4b3f0a36f964a520b1a325e3,"(0, 1, 3)"
Il Locale,53.549889922383485,9.925187757417829,Italian Restaurant,563bbfc2cd10e0c62f6d8a02,"(0, 1, 3)"
HATARI Pfälzer Stube,53.55077882274837,9.925492451728946,Palatine Restaurant,4b292c99f964a5204b9a24e3,"(0, 1, 3)"
Brasserie La Provence,53.550363396577794,9.926970153392023,French Restaurant,4da9ed506a2303012f01ccf1,"(0, 1, 3)"
Die Motte - Stadtteilkulturzentrum,53.55028780819984,9.92721258180621,Cultural Center,4c2caf258abca593070a0220,"(0, 1, 3)"
Flying Market,53.55039824254846,9.927385282087775,Vietnamese Restaurant,59308408fdb9a77bd86054a9,"(0, 1, 3)"
Cafe Lisboa,53.548962106942234,9.925587910737718,Portuguese Restaurant,4d87128261676dcb357bace4,"(0, 1, 3)"
Café Olé,53.54947928362427,9.927154971309058,Café,4b880cdbf964a520cbdb31e3,"(0, 1, 3)"
Frieda am Park,53.548185067601345,9.922976447525533,Café,4b5c200ef964a520e52429e3,"(0, 1, 3)"
Spielplatz Holmbrook,53.551623,9.89879,Playground,4cbb1a5abac93704decdef7c,"(0, 2, 0)"
OKW-Arena (Altona 93 II.),53.55192801328574,9.905230537070427,Soccer Field,52888c7c498ebf5f836ef039,"(0, 2, 0)"
H AK Altona (Eingang),53.555070908268355,9.89840269088745,Bus Stop,51422281e4b00cf8cc09d656,"(0, 2, 0)"
Eisprinzessinnen,53.550796672028824,9.912345733693357,Ice Cream Shop,53773eeb498efc4b3833a777,"(0, 2, 1)"
Vito,53.55090238495642,9.912387332019135,Italian Restaurant,4b058861f964a5202ac222e3,"(0, 2, 1)"
H Griegstraße,53.55440061584929,9.91019275467249,Bus Stop,4e061c87ae60a90eabc09385,"(0, 2, 1)"
Othmarscher Tennisclub,53.55112572890692,9.908364048565907,Tennis Court,4e05e3d0c65b5bf27785ac0e,"(0, 2, 1)"
Schrebergarten Heimgartenbund,53.553491,9.90601,Garden,4d862f2350913704863aa65b,"(0, 2, 1)"
Behrings - ehemals Stadtcafé Ottensen,53.553987476599595,9.919627878604961,Café,55aa2090498eb3b7b2528683,"(0, 2, 2)"
H Kreuzkirche,53.55380385786418,9.916338157633778,Bus Stop,4b709728f964a520e3232de3,"(0, 2, 2)"
Kreuzkirche (Ottensen),53.553589852891456,9.917576969743113,Church,4eee1017b634f75443f44959,"(0, 2, 2)"
FC Teutonia 05,53.5521800254926,9.918520620750442,Soccer Field,4dcfa732183899ddfaf1be0a,"(0, 2, 2)"
Zeise Kinos,53.55396559040325,9.927301668930957,Movie Theater,4aedff97f964a52012d121e3,"(0, 2, 3)"
Eisliebe,53.551338,9.925291,Ice Cream Shop,4b05885bf964a52036c022e3,"(0, 2, 3)"
Kleine Brunnenstrasse 1,53.55085672740747,9.92722773045553,Restaurant,4b463805f964a520701a26e3,"(0, 2, 3)"
Reh-Bar,53.55176134126183,9.92731136758836,Pub,4b26cce9f964a520238124e3,"(0, 2, 3)"
Eisenstein,53.554388436391484,9.92731331819529,Italian Restaurant,4b058861f964a52033c222e3,"(0, 2, 3)"
Souperia,53.554876636493304,9.927013766250962,Soup Place,53a03130498eae48de0be8ec,"(0, 2, 3)"
Zwei.Null,53.55483124084094,9.92761975765325,Pizza Place,595f63d1f79faa623f5b59eb,"(0, 2, 3)"
Black Delight,53.555013,9.926891,Café,5bcf8a2a4a1cc0002cdcc6ee,"(0, 2, 3)"
Schlecks,53.55235434109716,9.92248459875318,Ice Cream Shop,58bae4adf84085553831c222,"(0, 2, 3)"
TIDE Treibholz & Feinkost,53.55114573205989,9.927253974560845,Deli / Bodega,4c1a8bf2e9c4ef3b3c7b45aa,"(0, 2, 3)"
El Rojito,53.551079745430066,9.925466863195583,Café,4bebed67a9900f47094e1840,"(0, 2, 3)"
Kemal-Altun-Platz,53.55248957674647,9.92587924003601,Park,4df3de2645dd4e2693424a03,"(0, 2, 3)"
Filmhauskneipe,53.55442347178739,9.927553645930384,Pub,4b05885bf964a52048c022e3,"(0, 2, 3)"
China Bistro Yen,53.555390134480156,9.926092967024017,Asian Restaurant,4bfe4d27b68d0f4764f4e957,"(0, 2, 3)"
Goldene Gans,53.551739286357325,9.927357492774728,Restaurant,4b2012d7f964a520d92c24e3,"(0, 2, 3)"
Jö Makrönchen,53.55480275202142,9.921823231335233,Dessert Shop,510bcf6be0e22ccd81a55a9f,"(0, 2, 3)"
Arturo 1919,53.55322863947012,9.922682706952989,Restaurant,4d6024291939a35d170e1eee,"(0, 2, 3)"
H Große Brunnenstraße,53.5508849102421,9.924141358192585,Bus Stop,4dc7ceced164eb9ca026c58f,"(0, 2, 3)"
