Name,Latitude,Longitude,Venue_Id,Category_L1,Category_L2,Category_L3,Category_L4,Postal_Code
Himmelsleiter,53.54518769881003,9.901605248451233,4c28eb679eb1952149a12959,Outdoors & Recreation,Trail,None,None,22605
Oevelgönner Seekiste,53.54470319966229,9.905129671096804,4c28eaab9eb195212aa12959,Arts & Entertainment,Museum,None,None,22605
H Liebermannstraße,53.54603,9.898941,51dc0e9b498e6d7db55df732,Travel & Transport,Bus Stop,None,None,22605
Hafenrundfahrt HADAG,53.5422307147014,9.902829348039004,4b05885df964a52017c122e3,Travel & Transport,Boat or Ferry,None,None,22605
62,53.54207979546965,9.90344524383545,56afdc4c498ec155d3b31b79,Travel & Transport,Boat or Ferry,None,None,22605
Elbstrand Övelgönne,53.54440038487871,9.90842342376709,4b0ab196f964a5207a2623e3,Outdoors & Recreation,Beach,None,None,22605
Strandperle,53.544441790923976,9.905416247206682,4b058859f964a520d3bf22e3,Nightlife Spot,Bar,Beach Bar,None,22605
Strandkiosk (Ahoi),53.54443299386647,9.905867851945015,4c3e18ff0596c928a5d18378,Nightlife Spot,Bar,Beach Bar,None,22605
Zum alten Lotsenhaus,53.54475919913066,9.912062151611199,4b3e0a89f964a520ec9725e3,Food,German Restaurant,None,None,22605
Dock 13,53.544683103160686,9.91199137435222,4dea2af81f6e3ddebdc3e310,Nightlife Spot,Bar,Beach Bar,None,22605
Süßwasser,53.54460977621915,9.908102288721759,4b93ab8ef964a5205f4c34e3,Food,German Restaurant,None,None,22605
Elbe,53.54199053949022,9.910783767700195,4c40e734da3dc928a519c8b9,Outdoors & Recreation,River,None,None,22605
Övelgönne,53.544745832622326,9.906449317932127,4f9263f2c2ee4e40562af8ae,Outdoors & Recreation,Trail,None,None,22605
Museumshafen Oevelgönne e.V.,53.54406887989486,9.914066791534424,4b05885ff964a52081c122e3,Outdoors & Recreation,Harbor / Marina,None,None,22763
Landhaus Scherrer,53.54604407487767,9.916858234757012,4b05885ff964a520b4c122e3,Food,German Restaurant,None,None,22763
Das Weisse Haus,53.544503157467744,9.915149136009086,4bd081e2b221c9b6dbcdd3d0,Food,German Restaurant,None,None,22763
Nuggis Elbkate,53.54352521750832,9.914789161098117,4bcc8c80511f9521832bb3c7,Food,Snack Place,None,None,22763
Le Canard Nouveau,53.545945999999994,9.914011,4b05885ff964a520b3c122e3,Food,French Restaurant,None,None,22763
Fischrestaurant Hoppe,53.54449042193213,9.913315216011403,4b058861f964a52036c222e3,Food,Seafood Restaurant,None,None,22605
Elbterrassen,53.544314027733996,9.914256752029727,4ba6675ef964a520cb4e39e3,Food,Café,None,None,22605
Sutsche,53.54434172793371,9.912961527194456,4bc89df415a7ef3b42777bda,Food,Restaurant,None,None,22605
Kleinhuis’ Restaurantschiff,53.543714280423615,9.9146379002899,4d89f2bd26a36ea8bacee9ad,Food,Seafood Restaurant,None,None,22763
Linie 62 Landungsbrücken - Finkenwerder,53.54347870551696,9.914584411318087,4b65a803f964a5201bf82ae3,Travel & Transport,Boat or Ferry,None,None,22763
Rosengarten,53.545356634708824,9.918540716171263,4bb5ffb26edc76b01c3f301c,Outdoors & Recreation,Park,None,None,22763
H Neumühlen / Övelgönne,53.54425351911986,9.91481104144855,50794d02e4b0df11c946f1ef,Travel & Transport,Bus Stop,None,None,22763
Elbbrise,53.54440589733129,9.913561,4de77505fa7639614266e716,Food,Restaurant,None,None,22605
Elbtunnel,53.54168451756056,9.917821884155273,4b67eedbf964a5205f612be3,Travel & Transport,Tunnel,None,None,22763
Donners Park,53.545238635492325,9.925075360973498,4c63da42fa7bc9284c811127,Outdoors & Recreation,Park,None,None,22763
Heine-Park,53.546019621909416,9.92762804031372,4f40eedfe4b0daed43403907,Outdoors & Recreation,Park,None,None,22765
IndoChine IceBar,53.54389036973865,9.92344236089002,4e710a991838f0daa0d6ae95,Nightlife Spot,Bar,None,None,22763
Lothar Böhm Designagentur,53.54413605542743,9.924708653666483,4bb3740a2397b713c21b38b3,Food,Cafeteria,None,None,22763
Piano Beach,53.5437973542596,9.923877851190907,4c08f1237e3fc928d309f182,Outdoors & Recreation,Beach,None,None,22763
H Neumühler Kirchenweg,53.544600438299,9.926487586394833,4eef253f722ea77619953f83,Travel & Transport,Bus Stop,None,None,22763
N 17,53.54403770993453,9.921153892022176,4eb2e101cc21adeaf8a7fa98,Food,Restaurant,None,None,22763
Hensslers Küche,53.54466813700877,9.927499294281006,55f15d58498ef62f16293ef4,Professional & Other Places,School,Cooking School,None,22763
Stadt Bäckerei,53.549943000000006,9.898014,50b9c42be4b054161be0e422,Food,Bakery,None,None,22605
H Ernst-August-Straße,53.54995314251391,9.89810486425895,4f6d9998e4b0ad1af49eee90,Travel & Transport,Bus Stop,None,None,22605
H Philosophenweg,53.54922205482061,9.910311277729424,51399872e4b08d57c9385fbe,Travel & Transport,Bus Stop,None,None,22763
Rathenaupark,53.549474637118394,9.912511110305788,4c7a1e172d3ba143978690d0,Outdoors & Recreation,Park,None,None,22763
Altona 93,53.54721,9.907373,529b118411d2c5b205da48c7,Outdoors & Recreation,Athletics & Sports,Soccer Field,None,22605
FuH,53.549218999999994,9.922463,4b101de7f964a520596923e3,Professional & Other Places,School,Cooking School,None,22763
Frau Meis Eisladen,53.54856427515827,9.922188654609018,4ba5fc26f964a520c32c39e3,Food,Dessert Shop,Ice Cream Shop,None,22763
Teufels Küche,53.550102,9.925305,58de4356c5f8a7558d6d049d,Food,Restaurant,None,None,22763
Taverna Nostalgia bei Sotiris,53.550273,9.926811,4d3b1cd0d9a86a3199bd06ab,Food,Greek Restaurant,Taverna,None,22765
Jools Café und Restaurant,53.548285373776274,9.92287691298615,54903862498eec4e0f27b546,Food,Café,None,None,22763
Fischers Park,53.54833490486674,9.922014782164288,4b3f0a36f964a520b1a325e3,Outdoors & Recreation,Park,None,None,22763
Il Locale,53.54988992238349,9.925187757417827,563bbfc2cd10e0c62f6d8a02,Food,Italian Restaurant,None,None,22763
HATARI Pfälzer Stube,53.55077882274836,9.925492451728944,4b292c99f964a5204b9a24e3,Food,German Restaurant,Palatine Restaurant,None,22763
Brasserie La Provence,53.55036339657779,9.926970153392023,4da9ed506a2303012f01ccf1,Food,French Restaurant,None,None,22765
Die Motte - Stadtteilkulturzentrum,53.55028780819985,9.927212581806211,4c2caf258abca593070a0220,Professional & Other Places,Cultural Center,None,None,22765
Flying Market,53.550398242548454,9.927385282087775,59308408fdb9a77bd86054a9,Food,Asian Restaurant,Vietnamese Restaurant,None,22765
Cafe Lisboa,53.54896210694224,9.925587910737717,4d87128261676dcb357bace4,Food,Portuguese Restaurant,None,None,22765
Café Olé,53.54947928362428,9.927154971309056,4b880cdbf964a520cbdb31e3,Food,Café,None,None,22765
Frieda am Park,53.548185067601345,9.922976447525533,4b5c200ef964a520e52429e3,Food,Café,None,None,22763
Spielplatz Holmbrook,53.551623,9.89879,4cbb1a5abac93704decdef7c,Outdoors & Recreation,Playground,None,None,22605
OKW-Arena (Altona 93 II.),53.55192801328574,9.905230537070429,52888c7c498ebf5f836ef039,Outdoors & Recreation,Athletics & Sports,Soccer Field,None,22763
H AK Altona (Eingang),53.555070908268355,9.89840269088745,51422281e4b00cf8cc09d656,Travel & Transport,Bus Stop,None,None,22763
Eisprinzessinnen,53.55079667202882,9.912345733693355,53773eeb498efc4b3833a777,Food,Dessert Shop,Ice Cream Shop,None,22763
Vito,53.55090238495643,9.912387332019136,4b058861f964a5202ac222e3,Food,Italian Restaurant,None,None,22763
H Griegstraße,53.55440061584928,9.91019275467249,4e061c87ae60a90eabc09385,Travel & Transport,Bus Stop,None,None,22763
Othmarscher Tennisclub,53.55112572890692,9.90836404856591,4e05e3d0c65b5bf27785ac0e,Outdoors & Recreation,Athletics & Sports,Tennis Court,None,22763
Schrebergarten Heimgartenbund,53.553491,9.90601,4d862f2350913704863aa65b,Outdoors & Recreation,Garden,None,None,22763
Behrings - ehemals Stadtcafé Ottensen,53.553987476599595,9.91962787860496,55aa2090498eb3b7b2528683,Food,Café,None,None,22763
H Kreuzkirche,53.55380385786418,9.916338157633778,4b709728f964a520e3232de3,Travel & Transport,Bus Stop,None,None,22763
Kreuzkirche (Ottensen),53.55358985289146,9.917576969743113,4eee1017b634f75443f44959,Professional & Other Places,Spiritual Center,Church,None,22763
FC Teutonia 05,53.5521800254926,9.918520620750444,4dcfa732183899ddfaf1be0a,Outdoors & Recreation,Athletics & Sports,Soccer Field,None,22763
Zeise Kinos,53.55396559040325,9.927301668930957,4aedff97f964a52012d121e3,Arts & Entertainment,Movie Theater,None,None,22765
Eisliebe,53.551338,9.925291,4b05885bf964a52036c022e3,Food,Dessert Shop,Ice Cream Shop,None,22763
Kleine Brunnenstrasse 1,53.550856727407464,9.92722773045553,4b463805f964a520701a26e3,Food,Restaurant,None,None,22765
Reh-Bar,53.55176134126182,9.92731136758836,4b26cce9f964a520238124e3,Nightlife Spot,Bar,Pub,None,22765
Eisenstein,53.5543884363915,9.927313318195289,4b058861f964a52033c222e3,Food,Italian Restaurant,None,None,22765
Souperia,53.554876636493304,9.927013766250964,53a03130498eae48de0be8ec,Food,Soup Place,None,None,22765
Zwei.Null,53.55483124084094,9.92761975765325,595f63d1f79faa623f5b59eb,Food,Pizza Place,None,None,22765
Black Delight,53.555013,9.926891,5bcf8a2a4a1cc0002cdcc6ee,Food,Café,None,None,22765
Schlecks,53.55235434109716,9.92248459875318,58bae4adf84085553831c222,Food,Dessert Shop,Ice Cream Shop,None,22763
TIDE Treibholz & Feinkost,53.55114573205989,9.927253974560843,4c1a8bf2e9c4ef3b3c7b45aa,Food,Deli / Bodega,None,None,22765
El Rojito,53.551079745430066,9.925466863195584,4bebed67a9900f47094e1840,Food,Café,None,None,22763
Kemal-Altun-Platz,53.552489576746474,9.925879240036009,4df3de2645dd4e2693424a03,Outdoors & Recreation,Park,None,None,22765
Filmhauskneipe,53.55442347178739,9.927553645930383,4b05885bf964a52048c022e3,Nightlife Spot,Bar,Pub,None,22765
China Bistro Yen,53.55539013448015,9.926092967024015,4bfe4d27b68d0f4764f4e957,Food,Asian Restaurant,None,None,22765
Goldene Gans,53.551739286357325,9.927357492774727,4b2012d7f964a520d92c24e3,Food,Restaurant,None,None,22765
Jö Makrönchen,53.554802752021416,9.921823231335232,510bcf6be0e22ccd81a55a9f,Food,Dessert Shop,None,None,22763
Arturo 1919,53.55322863947012,9.922682706952989,4d6024291939a35d170e1eee,Food,Restaurant,None,None,22763
H Große Brunnenstraße,53.5508849102421,9.924141358192584,4dc7ceced164eb9ca026c58f,Travel & Transport,Bus Stop,None,None,22763
McFIT,53.557796999999994,9.900685000000001,52e3a18a11d200fad7272881,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,None,22605
Queue Billard Pub,53.55790648005475,9.900227126287318,4bd218f177b29c7458fb8d82,Arts & Entertainment,Pool Hall,None,None,22605
REWE,53.55698940248785,9.902257008598326,57f8da85498e4ef9e1a340bb,Shop & Service,Food & Drink Shop,Supermarket,None,22763
Lidl,53.556935105322246,9.903836846351624,4b588bf2f964a5203c5d28e3,Shop & Service,Food & Drink Shop,Supermarket,None,22763
Gilde Bowling Forty-Four,53.55772237490404,9.900045420848556,4aee07b8f964a52075d121e3,Arts & Entertainment,Bowling Alley,None,None,22605
Louisiana,53.55773009408271,9.90009335316012,522e344711d2348e6cad1115,Food,American Restaurant,None,None,22605
UCI Kinowelt,53.55777098332178,9.900067885705619,4b058861f964a5205fc222e3,Arts & Entertainment,Movie Theater,Multiplex,None,22605
Johann-Mohr-Park,53.55946157971654,9.904360980591287,4db447d24df05e5aaadc58b3,Outdoors & Recreation,Park,None,None,22763
Budnikowsky,53.556919172362136,9.902458190917967,57f8d7b1498eb89d2fc6039a,Shop & Service,Drugstore,None,None,22763
Adolf-Jäger-Kampfbahn,53.5559622122536,9.911147824036076,4cb1b30ddb32f04d6530ca4d,Outdoors & Recreation,Athletics & Sports,Soccer Field,None,22763
Elbdeli,53.55780073259643,9.909502245435805,577caa0b498ec1cf86077396,Food,Deli / Bodega,None,None,22763
Tjadens Bio Frischemarkt,53.55969033455573,9.910158096562393,5012407de4b035d9f3b4359a,Shop & Service,Food & Drink Shop,None,None,22763
Drilling,53.5584,9.907888,5b7c200ea8eb60002c20d146,Food,Café,None,None,22763
Apotheke am Bahrenfelder Bahnhof,53.55860600000001,9.9124702,526f5f9711d2d1e18b28df40,Shop & Service,Pharmacy,None,None,22763
Naturkostmarkt,53.55981129413399,9.910277889208805,4d484d20564e224bd2a2dacd,Shop & Service,Food & Drink Shop,None,None,22763
Schlemmerstübchen,53.559165200828296,9.912217026814721,4ecf820b775bbb5f31c4a0bd,Food,Diner,None,None,22763
S Bahrenfeld,53.56001586914648,9.911116597261836,4b291910f964a520a89824e3,Travel & Transport,Light Rail Station,None,None,22761
Futtern Wie Bei Muttern,53.55921345684503,9.911963939666748,4e3bed0681dc6ce0fac791f2,Food,German Restaurant,None,None,22763
HBB Store Bahrenfeld,53.559999857262966,9.91109703707637,4be2edfcf07b0f47ea8ef643,Shop & Service,Convenience Store,None,None,22761
Nepheli,53.55783242722864,9.914521784120057,4b560efff964a52040fe27e3,Food,Greek Restaurant,None,None,22763
Bäckerei Wiedenroth,53.55608389822626,9.921576028293023,4b2890a3f964a520f79324e3,Food,Bakery,None,None,22763
Thalia in der Gaußstraße,53.559019799091494,9.925775569836123,4b74510ff964a520b4d42de3,Arts & Entertainment,Performing Arts Venue,Theater,None,22765
Warenwirtschaft,53.5557045473899,9.921440583671274,4b236aebf964a520d15524e3,Shop & Service,Food & Drink Shop,Grocery Store,None,22763
The Box,53.5564090371441,9.92608376646318,5118f1efe4b0d096bb4476b2,Food,French Restaurant,None,None,22765
Froindlichst,53.55673426412657,9.921648325801367,5a7b24314940bc6de341bab4,Food,Vegetarian / Vegan Restaurant,None,None,22765
